"~id","~labels","quantities::NetVolume::kind","quantities::Length::kind","quantities::Width::value","quantities::NetSideArea::value","name","quantities::NetVolume::value","id","quantities::Width::kind","quantities::NetSideArea::kind","quantities::Length::value","properties::LoadBearing::kind","properties::Status::kind","properties::IsExternal::kind","properties::Status::enumeration_name","properties::LoadBearing::value","properties::IsExternal::value","properties::Status::domain","properties::Status::value","quantities::CrossSectionArea::kind","quantities::CrossSectionArea::value","predefined_type","code","scheme_id","uri","properties::ConstructionMethod::kind","properties::ConstructionMethod::value"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:34","ELEMENT;IfcRoof",,,,,"house - roof",,"2iPwJwpPDCSgMheXwk9cBT",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:35","CLASSIFICATION_REF;IfcClassificationReference",,,,,"Single-family house",,"IfcClassificationReference:35",,,,,,,,,,,,,,,"E-AAA","IfcClassification:34","https://identifier.buildingsmart.org/uri/molio/cciconstruction/1.0/class/E-AAA",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","ELEMENT;IfcWall",,,,,"house - outer wall - house back",,"0DyViLJJ175RvWQi1rE7a6",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","ELEMENT;IfcWall",,,,,"house - outer wall - house front",,"3SGBcf7Lv0r80vKtUCgOpf",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","ELEMENT;IfcWall",,,,,"house - outer wall - house front right",,"3oNJ9yHi5FJuFnK8yg68Yt",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","ELEMENT;IfcWall",,,,,"house - inner wall",,"2gTJhghMT81QThk15l2VwR",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","ELEMENT;IfcBeam",,,,,"girder",,"0fqX614OH1YO1Njdxms2$Q",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","ELEMENT;IfcBeam",,,,,"girder",,"0rh7bRO0L9fg1NzgGKU$Ut",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","ELEMENT;IfcBeam",,,,,"girder",,"3roxUKbVv98xiUcl22_T07",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","ELEMENT;IfcBeam",,,,,"girder",,"0Lvk$Qa81D5et3l3a4S9Vk",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","ELEMENT;IfcBeam",,,,,"girder",,"2ddLgAnQf4mBfh5IpUp54U",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","ELEMENT;IfcBeam",,,,,"girder",,"2fjJuPht9EIQaZQYZfC1Op",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","ELEMENT;IfcFooting",,,,,"house - foundation",,"0pFmhV8oD1dB40_b4pscr8",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:47","ELEMENT;IfcChimney",,,,,"house - chimney",,"3dkFAzOGrAIuOzY_RdrdVv",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:48","ELEMENT;IfcDiscreteAccessory",,,,,"beam shoe",,"2r_8UEywH9_RLHe8z$Xa8J",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:49","ELEMENT;IfcDiscreteAccessory",,,,,"beam shoe",,"2cc4uJUVv5BevbidUpn1H3",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:50","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.0000000000794,21.43257684268954,"Qto_WallBaseQuantities",4.28651536853961,"0VVWsZ$_bFHgmAwNtcydte","IfcQuantityLength","IfcQuantityArea",5200.000000000204,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:51","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"0ek$CCUjnFefFg04xFxxG_",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:52","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.00000000009933,14.65654653888909,"Qto_WallBaseQuantities",2.9313093077792742,"22KfX2yaj4UBecOFxQr$3y","IfcQuantityLength","IfcQuantityArea",3800.0000000000714,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:53","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"2DaAsqJGPDexb$sFANyw0e",,,,,"EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>",,"true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:60","IfcPropertySet;PSET",,,,,"Pset_BuildingCommon",,"18DB$FpSH4QhNntrrSRVGz",,,,,,,,,,,,,,,,,,"SingleValue","new construction"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:61","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"0hVJYXG1r7ywQAq8Vpug40",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
