"~id","~start_node_id","~end_node_id","~relationship_type","rel_class","from_id","to_id","id","rel_id"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102551","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0fqX614OH1YO1Njdxms2$Q","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0fqX614OH1YO1Njdxms2$Q","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155175503443787799","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0rh7bRO0L9fg1NzgGKU$Ut","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0rh7bRO0L9fg1NzgGKU$Ut","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157427303257473047","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","3roxUKbVv98xiUcl22_T07","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->3roxUKbVv98xiUcl22_T07","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1159679103071158295","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0Lvk$Qa81D5et3l3a4S9Vk","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0Lvk$Qa81D5et3l3a4S9Vk","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1161930902884843543","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","2ddLgAnQf4mBfh5IpUp54U","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->2ddLgAnQf4mBfh5IpUp54U","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1164182702698528791","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","2fjJuPht9EIQaZQYZfC1Op","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->2fjJuPht9EIQaZQYZfC1Op","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102552","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:48","DEFINED_BY_TYPE","IfcRelDefinesByType","1i7uuLYVf6ShdGFfCgAhuD","2r_8UEywH9_RLHe8z$Xa8J","2WxkgoJp57vPJ9Jr6S$j_w:1i7uuLYVf6ShdGFfCgAhuD->2r_8UEywH9_RLHe8z$Xa8J","2WxkgoJp57vPJ9Jr6S$j_w"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:6917531226664337457","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:49","DEFINED_BY_TYPE","IfcRelDefinesByType","1i7uuLYVf6ShdGFfCgAhuD","2cc4uJUVv5BevbidUpn1H3","2WxkgoJp57vPJ9Jr6S$j_w:1i7uuLYVf6ShdGFfCgAhuD->2cc4uJUVv5BevbidUpn1H3","2WxkgoJp57vPJ9Jr6S$j_w"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730329","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:25","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:56","0pFmhV8oD1dB40_b4pscr8","0oKrXjQf58gwTDmoHg_xVx:IfcMaterial:56->0pFmhV8oD1dB40_b4pscr8","0oKrXjQf58gwTDmoHg_xVx"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730330","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","0DyViLJJ175RvWQi1rE7a6","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->0DyViLJJ175RvWQi1rE7a6","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155176602955415578","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","3SGBcf7Lv0r80vKtUCgOpf","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->3SGBcf7Lv0r80vKtUCgOpf","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157428402769100826","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","3oNJ9yHi5FJuFnK8yg68Yt","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->3oNJ9yHi5FJuFnK8yg68Yt","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1161932002396471322","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","2gTJhghMT81QThk15l2VwR","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->2gTJhghMT81QThk15l2VwR","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1159680202582786074","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:47","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","3dkFAzOGrAIuOzY_RdrdVv","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->3dkFAzOGrAIuOzY_RdrdVv","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730331","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","0fqX614OH1YO1Njdxms2$Q","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->0fqX614OH1YO1Njdxms2$Q","1NsDI1QVHFMfwizftDPlfC"
